Date;Open;High;Low;Settle;Source
mar-14;24.40;25.00;20.40;21.10;TRNLTTFDA
apr-14;21.00;23.83;18.75;18.95;TRNLTTFDA
May 2014;19.20;25.00;16.35;18.75;TRNLTTFDA
Jun 2014;18.10;19.25;15.68;16.35;TRNLTTFDA
Jul 2014;16.75;18.60;14.80;17.10;TRNLTTFDA
Aug 2014;17.30;19.95;15.65;19.90;TRNLTTFDA
Sep 2014;20.00;22.60;18.80;20.70;TRNLTTFDA
Oct 2014;22.10;25.83;19.65;20.60;TRNLTTFDA
nov-14;21.50;25.10;21.40;24.05;TRNLTTFDA
Dec 2014;23.80;24.50;20.40;20.40;TRNLTTFDA
Jan 2015;20.70;22.20;18.75;20.15;TRNLTTFDA
feb-15;21.20;24.50;20.45;23.90;TRNLTTFDA
mar-15;23.00;23.40;20.60;22.40;TRNLTTFDA
apr-15;22.40;23.30;20.05;20.75;TRNLTTFDA
May 2015;20.52;21.25;19.95;20.60;TRNLTTFDA
Jun 2015;20.45;21.20;20.05;20.78;TRNLTTFDA
Jul 2015;20.85;21.63;20.35;20.40;TRNLTTFDA
Aug 2015;20.45;20.58;18.55;19.50;TRNLTTFDA
Sep 2015;19.80;20.13;18.30;18.40;TRNLTTFDA
Oct 2015;18.30;19.70;17.50;17.83;TRNLTTFDA
nov-15;17.55;18.20;15.85;18.20;TRNLTTFDA
Dec 2015;17.65;19.48;13.55;14.40;TRNLTTFDA
Jan 2016;14.62;15.65;12.15;13.00;TRNLTTFDA
feb-16;13.00;14.20;11.88;12.75;TRNLTTFDA
mar-16;12.55;12.80;11.90;12.40;TRNLTTFDA
apr-16;11.93;14.73;10.95;12.90;TRNLTTFDA
May 2016;12.65;14.38;12.05;14.18;TRNLTTFDA
Jun 2016;14.35;15.38;13.00;14.00;TRNLTTFDA
Jul 2016;14.05;14.93;13.40;13.48;TRNLTTFDA
Aug 2016;13.77;14.35;10.05;11.75;TRNLTTFDA
Sep 2016;11.30;14.27;10.50;13.48;TRNLTTFDA
Oct 2016;14.30;17.90;12.45;17.80;TRNLTTFDA
nov-16;18.05;19.52;17.15;18.23;TRNLTTFDA
Dec 2016;18.00;20.05;10.65;19.75;TRNLTTFDA
Jan 2017;19.40;22.20;18.50;21.20;TRNLTTFDA
feb-17;21.65;23.20;16.90;17.10;TRNLTTFDA
mar-17;16.95;17.25;12.38;15.32;TRNLTTFDA
apr-17;15.98;16.75;15.32;16.55;TRNLTTFDA
May 2017;16.72;16.90;15.00;15.30;TRNLTTFDA
Jun 2017;15.27;15.80;14.57;15.35;TRNLTTFDA
Jul 2017;15.10;15.80;14.70;15.05;TRNLTTFDA
Aug 2017;14.95;16.83;14.75;16.33;TRNLTTFDA
Sep 2017;16.42;107.77;15.88;16.40;TRNLTTFDA
Oct 2017;16.90;18.67;16.15;17.90;TRNLTTFDA
nov-17;18.02;20.93;17.75;20.70;TRNLTTFDA
Dec 2017;20.68;25.70;19.25;19.35;TRNLTTFDA
Jan 2018;19.55;20.10;17.25;17.85;TRNLTTFDA
feb-18;18.55;45.50;17.58;45.10;TRNLTTFDA
mar-18;39.00;102.00;18.10;19.50;TRNLTTFDA
apr-18;19.77;20.90;18.20;20.78;TRNLTTFDA
May 2018;20.75;23.28;19.85;22.45;TRNLTTFDA
Jun 2018;22.13;23.00;21.08;21.58;TRNLTTFDA
Jul 2018;21.90;22.90;21.78;22.08;TRNLTTFDA
Aug 2018;22.20;26.77;21.83;25.90;TRNLTTFDA
Sep 2018;26.00;29.90;24.70;27.15;TRNLTTFDA
Oct 2018;27.05;28.15;22.98;23.48;TRNLTTFDA
nov-18;23.45;26.88;22.25;24.15;TRNLTTFDA
Dec 2018;24.88;24.95;20.85;21.30;TRNLTTFDA
Jan 2019;21.05;22.85;19.68;19.95;TRNLTTFDA
feb-19;19.40;19.60;16.85;17.75;TRNLTTFDA
mar-19;17.40;17.60;13.90;14.68;TRNLTTFDA
apr-19;14.10;17.52;13.63;14.35;TRNLTTFDA
May 2019;14.05;14.88;9.60;10.35;TRNLTTFDA
Jun 2019;10.02;20.00;8.70;9.50;TRNLTTFDA
Jul 2019;9.70;14.00;9.45;10.15;TRNLTTFDA
Aug 2019;10.70;12.85;9.00;9.00;TRNLTTFDA
Sep 2019;8.65;12.20;7.18;8.23;TRNLTTFDA
Oct 2019;8.90;13.50;7.98;10.00;TRNLTTFDA
nov-19;10.70;16.60;10.07;15.65;TRNLTTFDA
Dec 2019;15.60;15.73;10.65;11.57;TRNLTTFDA
Jan 2020;11.60;13.00;9.43;9.85;TRNLTTFDA
feb-20;9.58;10.40;8.65;9.40;TRNLTTFDA
mar-20;9.35;9.77;6.95;7.18;TRNLTTFDA
apr-20;6.90;7.60;5.40;5.55;TRNLTTFDA
May 2020;5.70;5.90;2.10;3.42;TRNLTTFDA
Jun 2020;3.35;12.63;3.10;5.43;TRNLTTFDA
Jul 2020;5.80;5.95;3.97;5.20;TRNLTTFDA
Aug 2020;5.50;10.50;5.50;10.13;TRNLTTFDA
Sep 2020;10.50;12.75;10.18;11.50;TRNLTTFDA
Oct 2020;11.50;15.78;11.50;13.50;TRNLTTFDA
nov-20;13.05;15.20;12.48;15.13;TRNLTTFDA
Dec 2020;15.45;19.48;13.32;18.88;TRNLTTFDA
Jan 2021;18.80;28.00;17.40;20.48;TRNLTTFDA
feb-21;19.43;21.55;15.70;15.80;TRNLTTFDA
mar-21;16.25;19.25;15.75;18.93;TRNLTTFDA
apr-21;19.10;23.67;19.03;23.60;TRNLTTFDA
May 2021;24.05;27.30;22.80;25.50;TRNLTTFDA
Jun 2021;25.98;35.50;25.35;35.50;TRNLTTFDA
Jul 2021;35.40;41.38;31.55;40.47;TRNLTTFDA
Aug 2021;41.85;50.53;40.00;50.10;TRNLTTFDA
Sep 2021;52.25;94.50;49.50;84.75;TRNLTTFDA
Oct 2021;91.45;146.00;60.40;60.40;TRNLTTFDA
nov-21;71.30;695.00;62.90;91.65;TRNLTTFDA
Dec 2021;93.00;186.25;64.70;66.50;TRNLTTFDA
Jan 2022;85.95;97.00;70.28;84.60;TRNLTTFDA
feb-22;79.45;136.52;67.65;101.13;TRNLTTFDA
mar-22;103.00;270.00;92.00;121.90;TRNLTTFDA
apr-22;123.00;123.00;84.90;96.50;TRNLTTFDA
May 2022;97.90;105.78;77.50;85.90;TRNLTTFDA
Jun 2022;81.30;150.15;75.63;149.75;TRNLTTFDA
Jul 2022;147.75;224.38;144.00;191.75;TRNLTTFDA
Aug 2022;199.98;337.98;188.35;231.30;TRNLTTFDA
Sep 2022;230.50;248.70;158.02;163.50;TRNLTTFDA
Oct 2022;151.63;183.00;18.92;28.45;TRNLTTFDA
nov-22;30.25;148.00;18.53;139.00;TRNLTTFDA
Dec 2022;152.00;1,132.10;75.18;75.57;TRNLTTFDA
Jan 2023;71.70;72.96;53.50;59.25;TRNLTTFDA
feb-23;57.30;60.33;47.40;48.60;TRNLTTFDA
mar-23;48.50;54.00;38.78;47.25;TRNLTTFDA
apr-23;48.50;81.90;37.50;37.90;TRNLTTFDA
May 2023;38.40;38.45;23.38;26.00;TRNLTTFDA
Jun 2023;24.38;41.60;23.30;37.10;TRNLTTFDA
Jul 2023;35.38;37.20;23.18;26.70;TRNLTTFDA
Aug 2023;28.80;44.05;25.90;31.75;TRNLTTFDA
Sep 2023;32.25;45.55;26.30;37.40;TRNLTTFDA
Oct 2023;36.00;54.75;26.75;40.67;TRNLTTFDA
nov-23;40.30;54.85;35.42;40.85;TRNLTTFDA
Dec 2023;42.25;43.94;31.35;31.85;TRNLTTFDA
Jan 2024;31.35;35.14;25.83;29.45;TRNLTTFDA
feb-24;29.75;29.75;22.60;24.88;TRNLTTFDA
mar-24;25.35;29.25;24.35;27.50;TRNLTTFDA
apr-24;26.88;34.10;25.38;28.70;TRNLTTFDA
May 2024;28.45;38.80;28.45;34.21;TRNLTTFDA
Jun 2024;36.95;38.45;32.45;33.85;TRNLTTFDA
Jul 2024;34.60;35.50;30.25;34.96;TRNLTTFDA
Aug 2024;35.70;41.75;34.20;39.60;TRNLTTFDA
Sep 2024;39.20;39.94;32.40;38.40;TRNLTTFDA
Oct 2024;38.30;43.40;30.70;39.60;TRNLTTFDA
nov-24;39.05;48.83;38.00;46.98;TRNLTTFDA
Dec 2024;48.38;48.80;38.90;48.55;TRNLTTFDA
Jan 2025;48.90;54.10;43.70;54.00;TRNLTTFDA
feb-25;54.13;59.50;41.25;44.55;TRNLTTFDA
mar-25;46.78;46.78;37.80;40.78;TRNLTTFDA
apr-25;40.65;42.72;31.25;31.90;TRNLTTFDA
May 2025;31.70;37.85;31.58;33.50;TRNLTTFDA
Jun 2025;34.20;41.53;27.85;32.13;TRNLTTFDA
Jul 2025;32.35;36.13;31.55;33.97;TRNLTTFDA
Aug 2025;34.22;34.22;30.55;31.05;TRNLTTFDA
Sep 2025;31.55;33.05;30.95;32.00;TRNLTTFDA
Oct 2025;31.00;33.85;30.25;30.29;TRNLTTFDA
nov-25;30.98;32.25;28.39;28.75;TRNLTTFDA
Dec 2025;27.98;28.86;26.42;28.19;TRNLTTFDA
Jan 2026;28.85;42.60;27.90;41.00;TRNLTTFDA
feb-26;35.40;38.83;29.53;32.00;TRNLTTFDA
mar-26;38.83;67.26;38.15;51.30;TRNLTTFDA
apr-26;48.85;52.80;39.20;45.90;TRNLTTFDA
May 2026;46.41;52.80;41.06;47.10;TRNLTTFDA
Jun 2026;47.61;50.70;39.93;43.65;TRNLTTFDA
Jul 2026*;43.75;62.80;43.15;62.80;TRNLTTFDA
;;;;;
*Jul 2026 is month-to-date (as of 22 Jul 2026).;;;;;
;;;;;
;;;;;
;;;;;
Series Summary;;;;;
;;;;;
Detail;Value;;;;
Total observations;258 months;;;;
Date range;Feb 2005 - Jul 2026;;;;
TRNLTTFMc1 segment;Feb 2005 - Sep 2008 (44 months);;;;
TRNLTTFDA segment;Oct 2008 - Jul 2026 (214 months);;;;
Splice point;Sep/Oct 2008;;;;
All-time high (settle);EUR 231.30 (Aug 2022, TRNLTTFDA);;;;
All-time low (settle);EUR 3.42 (May 2020, TRNLTTFDA);;;;
Currency;EUR/MWh;;;;
;;;;;
⚠️ Modelling Considerations;;;;;
;;;;;
1. Splice discontinuity at Oct 2008: The transition from futures (c1) to day-ahead introduces a potential structural break. At the splice point, the Sep 2008 futures settle was EUR 36.15, while the Oct 2008 DA settle was EUR 30.04 - a gap of about EUR 6. Consider testing your model for a structural break at this point, or applying a level-shift adjustment.;;;;;
;;;;;
2. Extreme spikes in DA data: The TRNLTTFDA series contains extraordinary intraday/daily spikes that bleed into monthly highs (e.g., EUR 1,132 in Dec 2022, EUR 695 in Nov 2021). If using monthly highs, consider whether these reflect traded prices or balancing-market extremes that may distort your model. Monthly settle is generally more robust.;;;;;
;;;;;
3. Jan 2005 missing: The earliest available observation is Feb 2005. If your model requires a strict Jan 2005 start, you may need to interpolate or source the single missing observation separately.;;;;;
;;;;;
4. To download: Use the Copy button (📋) at the bottom-left of this response to copy the full table, then paste into Excel or Google Sheets and save as .csv.;;;;;
;;;;;
"Disclaimer: This communication is for informational purposes only and does not constitute an offer, solicitation, or financial, legal, tax, or investment advice. All investments involve risk; past performance is not a reliable indicator of future results. Where AI technology is used, outputs are programmatic, non-personalized, and may contain errors or omissions and no reliance should be placed on them. You are solely responsible for verifying accuracy and suitability for your use. Not intended as a recommendation, encouragement, or inducement to buy, sell, or hold any security or to engage in any investment activity.";;;;;
;;;;;
Thu Jul 23 2026 13:41:56 GMT+0200 (Ora legale dell’Europa centrale);;;;;
